id,content,des_len,diff,hit,id,solve,t_content
1,187,25,5,13792,1,537234,85
2,312,32,5,7571,2,438350,135
3,111,17,5,6364,3,317208,65
4,209,20,5,5414,4,285419,101
5,206,24,5,4627,5,297082,70
6,431,17,5,4524,6,298805,156
7,137,16,5,3756,7,256030,62
8,1255,30,5,4263,8,220371,1071
9,229,46,5,4090,9,220702,157
10,105,19,5,3710,10,202710,65
11,1482,32,5,4511,11,149411,1344
12,514,27,5,4275,12,137601,290
13,5190,24,5,3412,13,143861,5123
14,584,25,5,3791,14,142243,266
15,209,29,5,2945,15,118253,76
16,117,22,5,2877,16,145930,87
17,497,29,5,3182,17,97022,248
18,868,22,5,2944,18,94080,489
19,509,24,5,2534,19,87112,219
20,219,17,5,2610,20,130439,148
21,467,22,5,2617,21,93685,287
22,553,21,5,3138,22,86933,253
23,936,27,5,3030,23,66177,304
24,408,39,5,2875,24,74726,172
25,383,30,5,2278,25,101009,221
26,463,33,5,2322,26,53786,279
27,803,24,5,2569,27,56461,379
28,358,29,5,2104,28,72610,169
29,462,32,5,2443,29,67676,307
30,378,27,5,2093,30,71359,204
31,321,19,5,2666,31,53862,177
32,537,32,5,2399,32,45913,235
33,536,23,5,2471,33,46828,198
34,216,24,5,2075,34,61813,132
35,271,20,5,2205,35,56149,144
36,266,33,5,2151,36,59391,135
37,418,22,5,1986,37,48152,167
38,560,50,5,2127,38,40970,274
39,235,44,5,1881,39,47474,130
40,339,22,5,2125,40,52648,176
41,225,26,5,1970,41,44277,125
42,600,23,5,2126,42,49667,270
43,558,33,5,1922,43,38221,291
44,409,24,5,1932,44,36951,220
45,350,34,5,1860,45,47180,227
46,357,35,5,2184,46,39224,190
47,340,28,5,2055,47,37305,164
48,125,40,5,2092,48,76893,102
49,464,24,5,2397,49,37230,186
50,392,29,5,2737,50,39921,184
51,641,30,15,2219,51,20765,240
52,222,43,5,1584,52,43546,98
53,423,31,5,1787,53,39453,264
54,1949,20,10,2297,54,22640,978
55,1291,24,5,2104,55,35600,497
56,310,27,5,1507,56,38638,141
57,681,16,5,1770,57,26734,367
58,737,22,5,1767,58,25933,330
59,1510,24,5,2539,59,27625,567
60,423,38,20,2029,60,16346,175
61,1110,31,20,1853,61,16150,585
62,303,30,15,1554,62,19914,153
63,187,25,5,1625,63,28122,99
64,1382,27,20,2094,64,14114,986
65,1157,29,15,1701,65,19682,709
66,570,27,25,1720,66,12497,270
67,666,22,5,1734,67,65287,261
68,956,32,25,2370,68,13249,490
69,548,30,10,1481,69,22262,351
70,564,22,20,1497,70,14493,231
71,558,18,10,1631,71,18795,284
72,476,30,20,1555,72,14443,262
73,494,25,15,1416,73,16706,276
74,828,23,15,1624,74,17389,389
75,729,30,25,1385,75,11495,353
76,229,30,10,1558,76,18716,128
77,240,31,25,1186,77,12175,117
78,344,17,30,1358,78,10698,200
79,465,30,5,1552,79,29485,161
80,473,21,20,1451,80,12866,157
81,674,34,10,1233,81,22944,262
82,730,22,20,1617,82,13829,284
83,810,36,25,1267,83,11788,283
84,2701,25,35,1703,84,7907,1091
85,252,18,15,1210,85,16248,93
86,822,21,35,1357,86,8096,253
87,386,27,20,1662,87,13573,183
88,945,20,40,1727,88,6121,526
89,1000,17,20,1617,89,14406,311
90,1314,22,40,1542,90,6996,553
91,373,19,25,1171,91,10028,191
92,457,19,5,1301,92,27998,199
93,783,29,35,1405,93,7405,330
94,491,25,35,1243,94,7702,153
95,757,27,30,1212,95,9069,303
96,1618,19,25,2234,96,10897,733
97,425,39,5,1349,97,30949,174
98,818,23,35,1602,98,7081,281
99,573,26,10,1228,99,20302,211
100,549,32,30,1655,100,10312,232
101,1670,28,35,1595,101,7033,750
102,644,25,15,1654,102,14387,260
103,1179,21,45,1745,103,4994,607
104,549,35,25,1334,104,10872,236
105,895,18,45,1198,105,5050,399
106,829,23,50,1138,106,4019,333
107,826,20,35,1241,107,7188,401
108,394,29,30,1572,108,8591,228
109,1862,34,45,1635,109,5182,716
110,520,44,40,1371,110,5385,207
111,1110,23,45,1475,111,4673,578
112,809,17,15,1277,112,16292,268
113,609,35,30,1325,113,7466,243
114,660,33,35,1328,114,7108,414
115,833,35,35,1576,115,6510,334
116,757,18,30,1146,116,7933,400
117,454,25,35,1029,117,7285,310
118,326,21,45,1300,118,4370,147
119,375,23,30,1167,119,8081,179
