id,content,des_len,diff,hit,id,solve,t_content
120,242,35,25,1352,120,9315,176
121,848,16,35,1276,121,6415,301
122,505,18,40,1228,122,4992,305
123,321,35,30,1239,123,7812,167
124,540,19,25,1093,124,9506,532
125,525,18,25,1368,125,9145,209
126,827,32,55,1240,126,2917,374
127,549,24,50,1122,127,3938,614
128,894,23,55,1199,128,3118,348
129,488,20,45,1250,129,4091,206
130,741,36,45,1078,130,3842,357
131,396,33,40,1332,131,4852,151
132,260,27,45,786,132,4162,135
133,557,32,50,835,133,3578,241
134,487,21,45,954,134,4590,187
135,414,32,45,1108,135,4130,159
136,393,36,50,915,136,3630,152
137,730,27,50,1203,137,3485,529
138,494,22,45,1139,138,3800,186
139,672,30,50,1236,139,3613,269
140,634,28,55,852,140,2714,315
141,668,17,60,890,141,2396,214
142,133,13,45,947,142,3850,98
143,1002,19,65,917,143,1647,419
144,1376,15,50,1010,144,3974,417
145,420,18,20,1284,145,10970,182
146,245,14,50,955,146,3253,135
147,614,16,65,952,147,1843,263
148,514,15,50,905,148,3373,244
149,906,17,50,938,149,3165,453
150,1120,26,55,968,150,2550,467
151,1035,21,50,1098,151,3543,348
152,489,26,65,1187,152,1644,284
153,1659,13,65,1193,153,1610,760
154,714,15,65,1172,154,1668,280
155,963,14,60,1161,155,2247,334
156,976,15,70,1023,156,1478,488
157,493,30,65,987,157,1703,430
158,870,33,55,1079,158,2374,313
159,850,15,60,1253,159,2134,431
160,214,16,60,1099,160,2154,196
161,486,15,70,1317,161,1311,252
162,791,13,45,1239,162,3687,347
163,899,18,70,812,163,1181,344
164,132,28,45,997,164,3881,78
165,1696,10,65,1139,165,1651,654
166,352,10,50,853,166,2663,182
167,560,16,75,884,167,1073,345
168,351,11,65,887,168,1722,192
169,293,27,50,1047,169,3302,206
170,595,39,70,1081,170,1244,372
171,284,28,65,999,171,1731,202
172,117,19,55,796,172,2494,44
173,452,33,30,917,173,6260,191
174,552,21,40,1059,174,4082,262
175,832,29,70,1037,175,1164,395
176,387,18,70,1003,176,1233,168
177,783,13,80,882,177,803,333
178,355,10,55,1068,178,2249,162
179,187,12,25,880,179,7815,126
180,606,15,75,1020,180,987,386
181,235,30,70,1048,181,1263,143
182,1267,12,60,1180,182,1717,608
183,826,17,45,892,183,3250,454
184,697,15,75,834,184,1041,314
185,1316,12,55,1331,185,2045,839
186,989,12,60,1047,186,1872,583
187,357,10,25,1448,187,7717,202
188,311,12,35,1100,188,4486,272
189,658,17,70,1008,189,1311,233
190,260,16,50,763,190,2812,189
191,730,12,35,1111,191,4912,485
192,556,12,75,964,192,991,252
193,195,12,55,780,193,2109,142
194,604,11,75,841,194,881,293
195,366,22,75,1125,195,828,216
196,938,11,65,1070,196,1651,485
197,227,18,45,865,197,3526,156
198,702,11,80,913,198,694,286
199,686,13,70,822,199,1205,276
200,505,44,65,1094,200,1509,332
201,1040,14,65,929,201,1484,779
202,673,10,60,826,202,1673,271
203,650,23,25,745,203,6333,434
204,471,12,30,1186,204,5098,207
205,419,11,15,990,205,10090,213
206,115,13,5,762,206,15365,97
207,640,13,40,763,207,3329,390
208,433,12,70,789,208,1154,191
209,414,11,60,899,209,1730,348
210,349,12,70,807,210,1152,240
211,205,12,50,695,211,2741,141
212,1060,15,70,770,212,941,714
213,358,9,60,787,213,1577,159
214,539,12,40,800,214,3669,296
215,439,10,50,717,215,2555,205
216,297,25,45,761,216,2760,207
217,419,10,70,764,217,992,229
218,625,14,55,742,218,2085,322
219,713,14,70,697,219,1047,382
220,823,10,55,718,220,1636,648
221,379,12,65,660,221,1412,390
222,204,10,60,942,222,1432,136
223,183,15,70,231,223,958,133
224,185,15,75,182,224,783,133
225,340,15,45,193,225,3106,197
226,430,11,65,191,226,1228,185
227,648,10,65,186,227,1428,263
228,615,12,70,189,228,923,317
229,620,12,70,203,229,1002,373
230,920,12,50,213,230,2070,640
231,247,17,40,189,231,3844,146
232,662,11,65,214,232,1191,228
233,236,11,70,196,233,1404,123
234,687,11,50,180,234,2378,336
235,218,14,40,227,235,3677,127
236,1285,9,80,183,236,645,444
237,360,19,70,169,237,1045,184
238,1207,13,75,209,238,672,646
239,400,14,65,183,239,1236,137
240,360,11,60,188,240,1513,221
241,357,9,80,186,241,603,206
242,564,11,75,185,242,708,346
243,646,11,35,192,243,6335,291
244,926,12,70,182,244,878,504
245,540,11,80,181,245,554,272
246,656,11,80,199,246,541,231
247,650,14,65,184,247,1012,301
248,86,18,70,192,248,856,74
249,198,11,60,185,249,1712,102
250,166,12,55,259,250,1961,95
251,278,13,70,256,251,884,151
252,968,9,80,204,252,582,390
253,1252,10,75,289,253,682,621
254,507,12,75,209,254,647,334
255,1214,11,75,204,255,621,545
256,1445,13,80,219,256,495,605
257,602,10,85,184,257,443,273
258,126,15,70,237,258,973,131
259,717,9,70,194,259,1047,270
260,1164,10,70,287,260,882,495
261,458,11,85,334,261,447,304
262,997,12,80,210,262,488,193
